x,y,region,country,reportingDate,cld,dtr,frs,pet,pre,tmn,tmp,tmx,vap,wet,elevation,dominant_land_cover,X5_Ct_2010_Da,X5_Bf_2010_Da,lumpy
73.05368,54.323148,Europe,Russian Federation,14/08/2019,46.8,8.4,31,0,5.2,-25.5,-21.3,-17.1,1.1,3.63,153,2,250.2906518,0.005896505,1
75.51794,54.84852,Europe,Russian Federation,14/08/2019,36.9,8.6,31,0,5.8,-27.3,-23,-18.7,1,3.3,151,9,185.7729687,0.001074965,1
76.867777,55.05673,Europe,Russian Federation,14/08/2019,47.8,8.1,31,0,5.4,-26.8,-22.7,-18.7,1,3.53,153,2,176.1309735,0.001512286,1
74.14463,54.5556,Europe,Russian Federation,7/8/2019,44.8,8.3,31,0,5.2,-26.1,-21.9,-17.8,1,2.64,153,2,286.2762257,0.003381517,1
36.4843,34.9092,Asia,Syrian Arab Republic,9/3/2020,67.4,7.4,4.27,1.4,122.7,5.6,9.3,13,8.7,17.87,171,2,944.6532683,1.00E-08,1
88.95,24.73,Asia,Bangladesh,22/03/2020,40.5,13.4,0,2.2,6.4,11.7,18.4,25.1,14.9,0.67,145,2,24730.39136,800.2351969,1
89.09,22.65,Asia,Bangladesh,5/3/2020,41.9,13.5,0,2.3,0.7,12.6,19.3,26.1,16,0.01,145,2,22074.53379,377.1849474,1
86.3711,20.9605,Asia,India,18/11/2019,36.7,12.4,0,2.9,0,15.1,21.3,27.5,18.2,0,145,2,36535.52167,207.2462842,1
86.857682,21.636522,Asia,India,18/11/2019,37,13.2,0,2.5,1.5,13.1,19.7,26.3,17.3,0.13,146,2,8614.420873,116.2412195,1
86.91667,21.585458,Asia,India,18/11/2019,37,13.2,0,2.5,1.5,13.1,19.7,26.3,17.3,0.13,146,2,8614.420873,116.2412195,1
79.95024,52.49329,Europe,Russian Federation,6/11/2019,55.2,9.1,31,0.1,8.6,-25.9,-21.3,-16.8,1,6.21,156,2,251.9028643,0.000839016,1
91.696838,24.589827,Asia,Bangladesh,4/12/2019,43.9,14,0,2,9.8,11,18,25,14.7,0.85,147,2,10521.85943,1010.077194,1
90.414794,24.721343,Asia,Bangladesh,4/12/2019,44,13.1,0,2.1,5.7,11.9,18.4,25,14.8,0.65,147,2,21988.65273,494.4530552,1
89.333251,23.136049,Asia,Bangladesh,4/12/2019,42.8,14.3,0,2.2,2.5,11.6,18.7,25.9,15.7,0.08,145,2,27967.79992,536.094454,1
88.940108,24.542086,Asia,Bangladesh,4/12/2019,40.5,13.4,0,2.2,6.4,11.7,18.4,25.1,14.9,0.67,145,2,24730.39136,800.2351969,1
88.968374,25.835213,Asia,Bangladesh,4/12/2019,36.6,13.7,0,2.1,6.9,10.9,17.7,24.6,14.6,0.89,150,2,39462.81784,1042.23329,1
35.406541,33.050647,Asia,Israel,31/10/2019,61.1,7.6,0.11,1.7,159.4,9.3,13.1,16.9,10.7,16.59,161,2,602.6296796,0,1
76.96952,55.81528,Europe,Russian Federation,29/10/2019,49.2,8,31,0,5.3,-26.1,-22.1,-18.1,1,4.19,153,2,161.604946,0.000932622,1
86.3711,20.9605,Asia,India,25/08/2019,36.7,12.4,0,2.9,0,15.1,21.3,27.5,18.2,0,145,2,36535.52167,207.2462842,1
86.857682,21.636522,Asia,India,25/08/2019,37,13.2,0,2.5,1.5,13.1,19.7,26.3,17.3,0.13,146,2,8614.420873,116.2412195,1
86.91667,21.585458,Asia,India,25/08/2019,37,13.2,0,2.5,1.5,13.1,19.7,26.3,17.3,0.13,146,2,8614.420873,116.2412195,1
90.598,23.685,Asia,Bangladesh,10/10/2019,39,13.8,0,2.2,3.9,11.7,18.6,25.5,15.1,0.65,145,2,8504.041943,322.0633522,1
70.273,55.652,Europe,Russian Federation,9/10/2019,47.8,8.3,31,0,3.6,-25.1,-20.9,-16.8,1.2,6.34,155,2,104.7709918,0.000793021,1
91.876,22.298,Asia,Bangladesh,10/10/2019,30.5,11.3,0,2.5,3.9,14,19.6,25.3,15.3,0,149,4,1719.636454,32.81055754,1
70.143763,55.924905,Europe,Russian Federation,12/9/2019,47.8,8.3,31,0,3.6,-25.1,-20.9,-16.8,1.2,6.34,155,2,104.7709918,0.000793021,1
46.603424,51.29798,Europe,Russian Federation,12/9/2019,75.2,6.4,30.78,0.2,46.1,-12.1,-8.9,-5.7,2.8,13.12,149,3,310.2914362,0.00160353,1
74.533353,55.081623,Europe,Russian Federation,12/9/2019,47,8.4,31,0.1,5.1,-26.4,-22.2,-18,0.9,2.59,154,2,229.9346524,0.001855764,1
